Time,Battery_Power_kW,SOC,Electricity_Price,PV_Power_kW,Wind_Power_kW,Load_kW,grid_purchase_cost,grid_sales_revenue,battery_loss_cost,battery_aging_cost,network_loss_cost,total_revenue,Battery_Remaining_Capacity_Percent,Battery_Cycles,Battery_Avg_DoD_Percent,Line_Losses_kW,Grid_Power_kW,Voltage_Bus_0_pu,Voltage_Bus_1_pu,Voltage_Bus_2_pu,Voltage_Bus_3_pu,Line_0_Loading_Percent,Line_1_Loading_Percent,Line_2_Loading_Percent,Line_3_Loading_Percent
2025-01-31,-100306419.07660468,0.0,0.19,49.37951853491778,35.19659771258747,133.5977728896691,19058228.93866965,0.0,2246202214207.644,0.0,0.0,-1123120165332.7607,100.0,0.0,50.0,2006131.0534875516,100306468.09826133,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-01,-101682491.06587322,0.0,0.21,63.19625468167194,26.672932386159697,149.20465025625404,21353335.584280644,0.0,2308254832851.6113,0.0,0.0,-1154148769761.39,100.0,0.0,50.0,2033652.8054104694,101682550.40133639,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-02,-103386853.39784543,0.0,0.19,40.688087664530734,17.212057363634713,135.9890931474205,19643516.982490778,0.0,2386283484817.1323,0.0,0.0,-1193161385925.5486,100.0,0.0,50.0,2067739.7877387719,103386931.48679353,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-03,-105146903.44304484,0.0,0.18,75.05315691774774,0.0,133.86616627124667,18926453.206089754,0.0,2468222892116.403,0.0,0.0,-1234130372511.4075,100.0,0.0,50.0,2102940.746184222,105146962.25605418,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-04,-106786419.62559992,0.0,0.2,39.50459839995367,8.182782815436163,141.19549032843096,21357302.62674181,0.0,2545795142428.1323,0.0,0.0,-1272918928516.6929,100.0,0.0,50.0,2135731.216421805,106786513.13370904,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-05,-108380458.35794726,0.0,0.23,56.40052761557246,11.66314720206182,129.94587829929335,24927519.65523467,0.0,2622366390051.3877,0.0,0.0,-1311208122545.349,100.0,0.0,50.0,2167611.7660765112,108380520.24015073,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-06,-110013470.92273097,0.0,0.21,50.908074287484695,0.25989381405372924,148.46151546111312,23102849.32541845,0.0,2701986271033.936,0.0,0.0,-1351016238366.2935,100.0,0.0,50.0,2200272.3876849287,110013568.2162783,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-07,-111337040.5743886,0.0,0.2,72.26915021289471,8.64185843522652,128.0874180230336,22267417.550159596,0.0,2767392448225.8213,0.0,0.0,-1383718491530.4607,100.0,0.0,50.0,2226743.3732361323,111337087.75079794,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-08,-113249181.53812693,0.0,0.19,46.52603411160546,0.0,153.6328342248145,21517364.842536137,0.0,2863265036397.0996,0.0,0.0,-1431654035563.3923,100.0,0.0,50.0,2264986.703419223,113249288.64492702,1.0,1.0,1.0,1.0,0,0,0,0
2025-02-09,-114724555.72993444,0.0,0.21,46.266474729857,15.183418293461159,147.6228535403064,24092174.79960794,0.0,2938354402505.0234,0.0,0.0,-1469201293427.3113,100.0,0.0,50.0,2294494.06705576,114724641.90289494,1.0,1.0,1.0,1.0,0,0,0,0
